Time,Date,Treatment,Genotype,Fragment ,Picture,AOI,,
5:30pm,2019-08-20,New experiment,,102,12,8,,
5:30pm,2019-08-20,New experiment,,103,13,1,,
5:30pm,2019-08-20,New experiment,,104,13,2,,
5:30pm,2019-08-20,New experiment,,105,13,3,,
5:30pm,2019-08-20,New experiment,,106,13,4,,
5:30pm,2019-08-20,New experiment,,107,13,5,,
5:30pm,2019-08-20,New experiment,,108,13,6,,
5:30pm,2019-08-20,New experiment,,109,13,7,,
5:30pm,2019-08-20,New experiment,,110,13,8,,
5:30pm,2019-08-20,New experiment,,111,14,1,,
5:30pm,2019-08-20,New experiment,,112,14,2,,
5:30pm,2019-08-20,New experiment,,113,14,3,,
5:30pm,2019-08-20,New experiment,,114,14,4,,
5:30pm,2019-08-20,New experiment,,115,14,5,,
5:30pm,2019-08-20,New experiment,,116,14,6,,
5:30pm,2019-08-20,New experiment,,117,14,7,,
5:30pm,2019-08-20,New experiment,,118,14,8,,
5:30pm,2019-08-20,New experiment,,119,15,1,,
5:30pm,2019-08-20,New experiment,,120,15,2,,
5:30pm,2019-08-20,New experiment,,121,15,3,,
5:30pm,2019-08-20,New experiment,,122,15,4,,
5:30pm,2019-08-20,New experiment,,123,15,5,,
5:30pm,2019-08-20,New experiment,,124,15,6,,
5:30pm,2019-08-20,New experiment,,125,15,7,,
5:30pm,2019-08-20,New experiment,,126,15,8,,
5:30pm,2019-08-20,New experiment,,127,16,1,,
5:30pm,2019-08-20,New experiment,,128,16,2,,
5:30pm,2019-08-20,New experiment,,129,16,3,,
5:30pm,2019-08-20,New experiment,,130,16,4,,
5:30pm,2019-08-20,New experiment,,131,16,5,,
5:30pm,2019-08-20,New experiment,,132,16,6,,
5:30pm,2019-08-20,New experiment,,133,16,7,,
5:30pm,2019-08-20,New experiment,,134,16,8,,
5:30pm,2019-08-20,New experiment,,135,17,1,,
5:30pm,2019-08-20,New experiment,,137,17,2,,
5:30pm,2019-08-20,New experiment,,138,17,3,,
5:30pm,2019-08-20,New experiment,,140,17,4,,
5:30pm,2019-08-20,New experiment,,141,17,5,,
5:30pm,2019-08-20,New experiment,,142,17,6,,
5:30pm,2019-08-20,New experiment,,143,17,7,,
5:30pm,2019-08-20,New experiment,,145,17,8,,
5:30pm,2019-08-20,New experiment,,147,18,1,,
5:30pm,2019-08-20,New experiment,,148,18,2,,
5:30pm,2019-08-20,New experiment,,149,18,3,,
5:30pm,2019-08-20,New experiment,,150,18,4,,
5:30pm,2019-08-20,New experiment,,151,19,1,,
5:30pm,2019-08-20,New experiment,,152,19,2,,
5:30pm,2019-08-20,New experiment,,153,19,3,,
5:30pm,2019-08-20,New experiment,,154,19,4,,
5:30pm,2019-08-20,New experiment,,156,19,5,,
5:30pm,2019-08-20,New experiment,,157,19,6,,
5:30pm,2019-08-20,New experiment,,158,19,7,,
5:30pm,2019-08-20,New experiment,,159,19,8,,
5:30pm,2019-08-20,New experiment,,160,20,1,,
5:30pm,2019-08-20,New experiment,,161,20,2,,
5:30pm,2019-08-20,New experiment,,162,20,3,,
5:30pm,2019-08-20,New experiment,,163,20,4,,
5:30pm,2019-08-20,New experiment,,165,20,5,,
5:30pm,2019-08-20,New experiment,,166,20,6,,
5:30pm,2019-08-20,New experiment,,167,20,7,,
5:30pm,2019-08-20,New experiment,,168,20,8,,
5:30pm,2019-08-20,New experiment,,169,21,1,,
5:30pm,2019-08-20,New experiment,,170,21,2,,
5:30pm,2019-08-20,New experiment,,171,21,3,,
5:30pm,2019-08-20,New experiment,,172,21,4,,
5:30pm,2019-08-20,New experiment,,173,21,5,,
5:30pm,2019-08-20,New experiment,,174,21,6,,
5:30pm,2019-08-20,New experiment,,176,21,7,,
5:30pm,2019-08-20,New experiment,,177,21,8,,
5:30pm,2019-08-20,New experiment,,178,22,1,,
5:30pm,2019-08-20,New experiment,,179,22,2,,
5:30pm,2019-08-20,New experiment,,180,22,3,,
5:30pm,2019-08-20,New experiment,,181,22,4,,
5:30pm,2019-08-20,New experiment,,182,22,5,,
5:30pm,2019-08-20,New experiment,,183,22,6,,
5:30pm,2019-08-20,New experiment,,184,22,7,,
5:30pm,2019-08-20,New experiment,,185,22,8,,
5:30pm,2019-08-20,New experiment,,186,23,1,,
5:30pm,2019-08-20,New experiment,,187,23,2,,
5:30pm,2019-08-20,New experiment,,188,23,3,,
5:30pm,2019-08-20,New experiment,,189,23,4,,
5:30pm,2019-08-21,New experiment,,190,23,5,,
5:30pm,2019-08-22,New experiment,,191,23,6,,
5:30pm,2019-08-23,New experiment,,192,23,7,,
5:30pm,2019-08-24,New experiment,,193,23,8,,
5:30pm,2019-08-25,New experiment,,194,24,1,,
5:30pm,2019-08-26,New experiment,,195,24,2,,
5:30pm,2019-08-27,New experiment,,196,24,3,,
5:30pm,2019-08-28,New experiment,,197,24,4,,
5:30pm,2019-08-29,New experiment,,198,24,5,,
5:30pm,2019-08-30,New experiment,,199,24,6,,
5:30pm,2019-08-31,New experiment,,200,24,7,,
5:30pm,2019-09-01,New experiment,,201,24,8,,
5:30pm,2019-09-02,New experiment,,202,25,1,,
5:30pm,2019-09-03,New experiment,,203,25,2,,
5:30pm,2019-09-04,New experiment,,204,25,3,,
5:30pm,2019-09-05,New experiment,,205,25,4,,
5:30pm,2019-09-06,New experiment,,206,25,5,,
5:30pm,2019-09-07,New experiment,,207,25,6,,
5:30pm,2019-09-08,New experiment,,208,25,7,,
5:30pm,2019-09-09,New experiment,,209,25,8,,
5:30pm,2019-09-10,New experiment,,210,26,1,,
5:30pm,2019-09-11,New experiment,,211,26,2,,
5:30pm,2019-09-12,New experiment,,212,26,3,,
5:30pm,2019-09-13,New experiment,,213,26,4,,
5:30pm,2019-09-14,New experiment,,214,26,5,,
5:30pm,2019-09-15,New experiment,,215,26,6,,
5:30pm,2019-09-16,New experiment,,216,26,7,,
5:30pm,2019-09-17,New experiment,,217,26,8,,
5:30pm,2019-09-18,New experiment,,218,27,1,malfunctioned and took three time points,
5:30pm,2019-09-19,New experiment,,221,27,2,,
5:30pm,2019-09-20,New experiment,,222,27,3,,
5:30pm,2019-09-21,New experiment,,223,27,4,,
5:30pm,2019-09-22,New experiment,,225,27,5,,
5:30pm,2019-09-23,New experiment,,226,27,6,,
5:30pm,2019-09-24,New experiment,,227,27,7,,
5:30pm,2019-09-25,New experiment,,228,27,8,,
5:30pm,2019-09-26,New experiment,,229,28,1,,
5:30pm,2019-09-27,New experiment,,230,28,2,,
5:30pm,2019-09-28,New experiment,,231,28,3,,
5:30pm,2019-09-29,New experiment,,232,28,4,,
5:30pm,2019-09-30,New experiment,,233,28,5,,
5:30pm,2019-10-01,New experiment,,234,28,6,,
5:30pm,2019-10-02,New experiment,,235,28,7,,
5:30pm,2019-10-03,New experiment,,236,28,8,,
5:30pm,2019-10-04,New experiment,,237,29,1,,
5:30pm,2019-10-05,New experiment,,238,29,2,,
5:30pm,2019-10-06,New experiment,,239,29,3,,
5:30pm,2019-10-07,New experiment,,241,29,4,,
5:30pm,2019-10-08,New experiment,,242,29,5,,
5:30pm,2019-10-09,New experiment,,243,29,6,,
5:30pm,2019-10-10,New experiment,,244,29,7,,
5:30pm,2019-10-11,New experiment,,245,29,8,,
5:30pm,2019-10-12,New experiment,,246,30,1,,
5:30pm,2019-10-13,New experiment,,247,30,2,,
5:30pm,2019-10-14,New experiment,,248,30,3,,
5:30pm,2019-10-15,New experiment,,249,30,4,,
5:30pm,2019-10-16,New experiment,,250,30,5,,
5:30pm,2019-10-17,New experiment,,251,30,6,,
5:30pm,2019-10-18,New experiment,,252,30,7,,
5:30pm,2019-10-19,New experiment,,253,30,8,,
5:30pm,2019-10-20,New experiment,,254,31,1,,
5:30pm,2019-10-21,New experiment,,255,31,2,,
5:30pm,2019-10-22,New experiment,,256,31,3,,
5:30pm,2019-10-23,New experiment,,257,31,4,,
5:30pm,2019-10-24,New experiment,,258,31,5,,
5:30pm,2019-10-25,New experiment,,259,31,6,,
5:30pm,2019-10-26,New experiment,,260,31,7,,
5:30pm,2019-10-27,New experiment,,261,31,8,,
5:30pm,2019-10-28,New experiment,,262,32,1,,
5:30pm,2019-10-29,New experiment,,263,32,2,,
5:30pm,2019-10-30,New experiment,,266,32,3,,
5:30pm,2019-10-31,New experiment,,267,32,4,,
5:30pm,2019-11-01,New experiment,,268,32,5,,
5:30pm,2019-11-02,New experiment,,270,32,6,,
5:30pm,2019-11-03,New experiment,,271,32,7,,
5:30pm,2019-11-04,New experiment,,272,32,8,,
5:30pm,2019-11-05,New experiment,,273,33,1,,
5:30pm,2019-11-06,New experiment,,274,33,2,,
5:30pm,2019-11-07,New experiment,,275,33,3,,
5:30pm,2019-11-08,New experiment,,276,33,4,,
5:30pm,2019-11-09,New experiment,,277,33,5,,
5:30pm,2019-11-10,New experiment,,278,33,6,,
5:30pm,2019-11-11,New experiment,,279,33,7,,
5:30pm,2019-11-12,New experiment,,280,33,8,,
5:30pm,2019-11-13,New experiment,,281,34,1,,
5:30pm,2019-11-14,New experiment,,282,34,2,,
5:30pm,2019-11-15,New experiment,,283,34,3,,
5:30pm,2019-11-16,New experiment,,284,34,4,,
5:30pm,2019-11-17,New experiment,,285,34,5,,
5:30pm,2019-11-18,New experiment,,286,34,6,,
5:30pm,2019-11-19,New experiment,,287,34,7,,
5:30pm,2019-11-20,New experiment,,289,34,8,,
5:30pm,2019-11-21,New experiment,,290,35,1,,
5:30pm,2019-11-22,New experiment,,291,35,2,,
5:30pm,2019-11-23,New experiment,,292,35,3,,
5:30pm,2019-11-24,New experiment,,293,35,4,,
5:30pm,2019-11-25,New experiment,,294,35,5,,
5:30pm,2019-11-26,New experiment,,295,35,6,,
5:30pm,2019-11-27,New experiment,,296,35,7,,
5:30pm,2019-11-28,New experiment,,297,35,8,,
5:30pm,2019-11-29,New experiment,,298,36,1,,
5:30pm,2019-11-30,New experiment,,300,36,2,,
5:30pm,2019-12-01,New experiment,,301,36,3,,
